iter	Logloss
0	0.6901121731
1	0.6870407911
2	0.6839177089
3	0.6807411721
4	0.6776684968
5	0.6748675538
6	0.6719205445
7	0.669083435
8	0.6663570867
9	0.6636627086
10	0.6607995849
11	0.6580293987
12	0.6554874294
13	0.6529750791
14	0.6504402898
15	0.6478471779
16	0.6455684941
17	0.6432282813
18	0.6409516194
19	0.6387997931
20	0.6365406819
21	0.6344112129
22	0.632205832
23	0.6300801315
24	0.6280117727
25	0.6259242431
26	0.6239350722
27	0.621985776
28	0.6200985375
29	0.6183733091
30	0.6166088551
31	0.6148111231
32	0.6129825233
33	0.6114106521
34	0.6096275887
35	0.6081524532
36	0.6064249405
37	0.6048592808
38	0.6033265078
39	0.6018441835
40	0.6002675309
41	0.5988044923
42	0.5974203287
43	0.5961002162
44	0.594749679
45	0.5935779695
46	0.5921881823
47	0.5909516603
48	0.5897788412
49	0.5887270886
50	0.5874590122
51	0.5862638143
52	0.5850734956
53	0.5840149376
54	0.5828431953
55	0.5817954822
56	0.5807516498
57	0.5798141266
58	0.578786064
59	0.5777947955
60	0.5766992627
61	0.5757088492
62	0.5747734176
63	0.5738687952
64	0.5728563754
65	0.5719134445
66	0.57101202
67	0.5700826723
68	0.5692753295
69	0.5684147556
70	0.5675224829
71	0.5667595186
72	0.5659467962
73	0.5651575552
74	0.5644093054
75	0.5636238973
76	0.5628704417
77	0.5620994565
78	0.5613909727
79	0.5606743747
80	0.5599192629
81	0.5592929948
82	0.5585314933
83	0.5578958429
84	0.5572396026
85	0.5565966471
86	0.5559203383
87	0.5552802524
88	0.5546271978
89	0.5539878038
90	0.5534115089
91	0.5528746454
92	0.5522427838
93	0.5517711569
94	0.5512423567
95	0.5506840502
96	0.5501576156
97	0.5496284973
98	0.5491269707
99	0.5485752883
100	0.5480668593
101	0.5475558921
102	0.5470585758
103	0.5466543033
104	0.5462039141
105	0.5457790582
106	0.5452903787
107	0.5448339161
108	0.544398205
109	0.5440361799
110	0.5435879844
111	0.543125759
112	0.5425939786
113	0.5421685481
114	0.5417210027
115	0.5413029536
116	0.5408863713
117	0.5405288439
118	0.5401537356
119	0.5397761675
120	0.5393774589
121	0.539037788
122	0.5386471388
123	0.5383139739
124	0.537920324
125	0.5375766842
126	0.5372136791
127	0.5369673368
128	0.536649976
129	0.5363118436
130	0.5360169813
131	0.5357527922
132	0.5354527029
133	0.5351425612
134	0.5348194341
135	0.5345093121
136	0.534221501
137	0.5339772484
138	0.5337445124
139	0.5334749731
140	0.5332022876
141	0.5329275797
142	0.5326115692
143	0.5323246859
144	0.5320494724
145	0.531775943
146	0.5315355051
147	0.5312033388
148	0.5308736606
149	0.5305838542
150	0.5303461013
151	0.5301212655
152	0.5298314844
153	0.5296312496
154	0.5293569003
155	0.5291574273
156	0.5289257576
157	0.5286855287
158	0.5284803816
159	0.5283042122
160	0.5280868647
161	0.5278592632
162	0.5276578082
163	0.5274682635
164	0.5272712725
165	0.527018342
166	0.5268668496
167	0.5266499308
168	0.5264287074
169	0.5262500339
170	0.5260913889
171	0.5258828193
172	0.5257411666
173	0.5255335627
174	0.5254108784
175	0.5252874427
176	0.5251085783
177	0.5249082518
178	0.5247117169
179	0.5245381681
180	0.5243884353
181	0.5242046949
182	0.5240661152
183	0.5238587454
184	0.5237202406
185	0.5235692836
186	0.5234424984
187	0.5232861052
188	0.523102424
189	0.5229799794
190	0.5227989109
191	0.5226312045
192	0.5224392579
193	0.5222721546
194	0.5221357105
195	0.5220421766
196	0.5218836313
197	0.5217217718
198	0.5215735517
199	0.5214624902
200	0.5213385948
201	0.5212364025
202	0.5210850301
203	0.5209511259
204	0.5207873485
205	0.5206345772
206	0.5205014111
207	0.5203591252
208	0.5202462163
209	0.5200936659
210	0.5199760644
211	0.5198478376
212	0.5196899751
213	0.5195843424
214	0.5195048448
215	0.5194171133
216	0.519336348
217	0.5192412291
218	0.5191431508
219	0.518994571
220	0.5188888553
221	0.5187809911
222	0.5187153772
223	0.5186095754
224	0.518516852
225	0.5184302706
226	0.518253644
227	0.5181446809
228	0.5180455649
229	0.5179469248
230	0.5178280464
231	0.5177460799
232	0.5176357926
233	0.5175370032
234	0.5174409988
235	0.5173283028
236	0.517262852
237	0.5171984729
238	0.5170793608
239	0.5170262776
240	0.5168786307
241	0.5167896203
242	0.5166864779
243	0.5165895171
244	0.5164924393
245	0.5163789799
246	0.5162926788
247	0.5161826626
248	0.5161174369
249	0.5160707365
250	0.5160044412
251	0.5159224278
252	0.5158551805
253	0.515772024
254	0.5156882292
255	0.5155961487
256	0.5155259989
257	0.5154034765
258	0.5153678543
259	0.5152775675
260	0.5152036058
261	0.5151025272
262	0.5150001622
263	0.5149119448
264	0.5148470242
265	0.5147761548
266	0.514702163
267	0.5146585957
268	0.514625888
269	0.5145697324
270	0.5145151909
271	0.5144491017
272	0.5143500709
273	0.5143048826
274	0.5142310344
275	0.5141629114
276	0.5140869635
277	0.5140215452
278	0.5139287635
279	0.5138191758
280	0.5137503286
281	0.5137029917
282	0.5136348631
283	0.5135525937
284	0.5135252122
285	0.5134756546
286	0.5133910583
287	0.5133220865
288	0.5132348934
289	0.51319104
290	0.5131216331
291	0.5131019685
292	0.5129917228
293	0.5129278264
294	0.5128912943
295	0.5128432728
296	0.5127795307
297	0.5127433723
298	0.5126901829
299	0.5126142842
300	0.5125562082
301	0.5124784136
302	0.5124117974
303	0.5123526216
304	0.5123202684
305	0.5122786159
306	0.5122242288
307	0.5121892321
308	0.5121375164
309	0.5120667303
310	0.5120022047
311	0.5119538238
312	0.5118946323
313	0.5118449886
314	0.5118050937
315	0.5117296948
316	0.5116789999
317	0.5116098959
318	0.5115677055
319	0.5115068536
320	0.5114727314
321	0.5114381431
322	0.5113921469
323	0.5113419228
324	0.5112499954
325	0.5112119474
326	0.5111587726
327	0.5111293764
328	0.51106057
329	0.5110313767
330	0.5109731532
331	0.5109187575
332	0.5108679271
333	0.5108192195
334	0.5107560934
335	0.5107138222
336	0.5106602056
337	0.5106302819
338	0.5105799862
339	0.5105139054
340	0.5104672459
341	0.5104330111
342	0.5103931327
343	0.5103663222
344	0.5103177115
345	0.5102759555
346	0.5102264166
347	0.5101797598
348	0.510122231
349	0.5100927332
350	0.5100476133
351	0.509996172
352	0.5099346586
353	0.5098993592
354	0.5098405542
355	0.5098163365
356	0.5097716153
357	0.5097382582
358	0.509716324
359	0.5096281401
360	0.5096063813
361	0.5095736951
362	0.50954248
363	0.5094992773
364	0.5094718748
365	0.509452562
366	0.5094305948
367	0.5093851327
368	0.5093353416
369	0.5093100939
370	0.5092591822
371	0.5092128662
372	0.5091797166
373	0.5091567384
374	0.5091247671
375	0.5090918464
376	0.509069603
377	0.5090344429
378	0.5090028542
379	0.5089533286
380	0.5089002841
381	0.5088828532
